	subject_number	AGE_GROUP	TRIAL	image_id	FIRST_LAST	CURRENT_FIX_INDEX	CURRENT_FIX_X	CURRENT_FIX_Y	CURRENT_FIX_DURATION
2075	201	1	103	149	0	13	732.3	201.9	200
2076	201	1	103	149	0	14	759.7	322.7	259
2077	201	1	103	149	0	15	760.3	463.8	312
2078	201	1	103	149	0	16	753.5	546.5	97
2079	201	1	103	149	0	17	374.4	470.1	114
2080	201	1	103	149	0	18	385.4	420.3	131
2081	201	1	103	149	0	19	457.1	387.2	203
2082	201	1	103	149	0	20	545.2	431.4	326
2083	201	1	103	149	0	21	155.3	352.7	270
2084	201	1	103	149	2	22	34.5	392.9	161
2247	201	1	112	52	1	1	409.1	272.8	826
2248	201	1	112	52	0	2	363.4	243.6	251
2249	201	1	112	52	0	3	361.5	279.0	183
2250	201	1	112	52	0	4	623.6	242.6	58
2251	201	1	112	52	0	5	618.8	229.8	201
2252	201	1	112	52	0	6	662.0	197.6	141
2253	201	1	112	52	0	7	642.9	221.5	179
2254	201	1	112	52	0	8	646.4	526.4	149
2255	201	1	112	52	0	9	579.6	459.2	298
2256	201	1	112	52	0	10	83.9	435.0	181
2257	201	1	112	52	0	11	59.0	371.9	196
2258	201	1	112	52	0	12	28.4	369.9	109
2259	201	1	112	52	0	13	30.4	356.7	196
2260	201	1	112	52	0	14	13.0	367.9	156
2261	201	1	112	52	0	15	89.7	-2.4	109
2262	201	1	112	52	0	16	77.3	-21.1	534
2263	201	1	112	52	0	17	115.9	89.7	203
2264	201	1	112	52	0	18	40.3	46.8	106
2265	201	1	112	52	0	19	208.5	28.3	187
2266	201	1	112	52	0	20	550.8	93.3	208
2267	201	1	112	52	0	21	724.6	180.1	255
2268	201	1	112	52	0	22	700.8	123.1	183
2269	201	1	112	52	2	23	662.9	186.1	202
2270	201	1	113	97	1	1	420.4	282.0	784
2271	201	1	113	97	0	2	153.1	359.1	196
2272	201	1	113	97	0	3	205.4	386.2	180
2273	201	1	113	97	0	4	211.6	439.0	120
2274	201	1	113	97	0	5	133.4	415.1	96
2275	201	1	113	97	0	6	104.9	443.7	47
2276	201	1	113	97	0	7	387.6	303.4	298
2277	201	1	113	97	0	8	399.1	211.2	153
2278	201	1	113	97	0	9	175.0	185.3	383
2279	201	1	113	97	0	10	650.1	156.7	440
2280	201	1	113	97	0	11	559.4	218.5	150
2281	201	1	113	97	0	12	766.1	417.1	379
2282	201	1	113	97	0	13	762.9	408.2	210
2283	201	1	113	97	0	14	766.1	426.0	391
2284	201	1	113	97	0	15	803.2	267.0	177
2285	201	1	113	97	0	16	708.9	212.5	48
2286	201	1	113	97	0	17	542.5	214.5	195
2287	201	1	113	97	0	18	339.7	175.9	176
2288	201	1	113	97	0	19	393.6	221.7	174
2289	201	1	113	97	2	20	268.1	204.3	222
2519	201	1	125	112	1	1	406.5	304.4	805
2520	201	1	125	112	0	2	198.6	411.3	220
2521	201	1	125	112	0	3	176.9	441.6	431
2522	201	1	125	112	0	4	167.5	483.7	131
2523	201	1	125	112	0	5	191.5	408.1	317
2524	201	1	125	112	0	6	167.7	440.0	328
2525	201	1	125	112	0	7	15.5	321.5	428
2526	201	1	125	112	0	8	86.1	357.6	184
2527	201	1	125	112	0	9	196.5	430.3	146
2528	201	1	125	112	0	10	539.8	272.4	217
2529	201	1	125	112	0	11	647.2	355.8	324
2530	201	1	125	112	0	12	632.5	396.5	309
2531	201	1	125	112	0	13	678.7	198.9	243
2532	201	1	125	112	0	14	314.0	215.7	256
2533	201	1	125	112	0	15	290.7	173.4	99
2534	201	1	125	112	0	16	600.8	116.3	113
2535	201	1	125	112	0	17	698.8	122.7	190
2536	201	1	125	112	0	18	508.6	127.8	377
2537	201	1	125	112	2	19	519.1	232.8	204
2538	201	1	126	150	1	1	388.6	304.7	808
2539	201	1	126	150	0	2	292.6	488.9	103
2540	201	1	126	150	0	3	375.5	512.6	165
2541	201	1	126	150	0	4	363.2	561.4	131
2542	201	1	126	150	0	5	674.9	416.9	231
2543	201	1	126	150	0	6	530.2	270.1	335
2544	201	1	126	150	0	7	712.7	415.3	203
