subject_number	image_id	region	dvFix	fCentr	fLumin
201.0000000000	106	38.0000000000	0.0000000000	0.6301613550	0.6354976120
201.0000000000	106	39.0000000000	0.0000000000	0.7858096279	0.6331483729
201.0000000000	106	40.0000000000	1.0000000000	0.9055336348	0.3796877569
201.0000000000	106	41.0000000000	0.0000000000	0.9716965472	0.0958251378
201.0000000000	106	42.0000000000	0.0000000000	0.9360001353	0.2261214327
201.0000000000	106	43.0000000000	0.0000000000	0.8897932245	0.3714201905
201.0000000000	106	44.0000000000	0.0000000000	0.8554802706	0.3418577094
201.0000000000	106	45.0000000000	0.0000000000	0.8556769867	0.5217088839
201.0000000000	106	46.0000000000	0.0000000000	0.8902426432	0.5856200736
201.0000000000	106	47.0000000000	0.0000000000	0.9364345251	0.4885745707
201.0000000000	106	48.0000000000	1.0000000000	0.9719651294	0.1911312202
201.0000000000	107	1.0000000000	0.0000000000	0.9712645695	0.5306027353
201.0000000000	107	2.0000000000	1.0000000000	0.9350233460	0.5718459188
201.0000000000	107	3.0000000000	1.0000000000	0.8881112085	0.5532035481
201.0000000000	107	4.0000000000	1.0000000000	0.8532745578	0.5782975241
201.0000000000	107	5.0000000000	1.0000000000	0.8534742762	0.5851243399
201.0000000000	107	6.0000000000	1.0000000000	0.8885674864	0.5621883256
201.0000000000	107	7.0000000000	0.0000000000	0.9354643657	0.5231427359
201.0000000000	107	8.0000000000	0.0000000000	0.9715372510	0.5030715227
201.0000000000	107	9.0000000000	1.0000000000	0.9037579109	0.4478458743
201.0000000000	107	10.0000000000	0.0000000000	0.7823770577	0.4833066384
201.0000000000	107	11.0000000000	0.0000000000	0.6252566648	0.4780520357
201.0000000000	107	12.0000000000	1.0000000000	0.5085800746	0.3916704400
201.0000000000	107	13.0000000000	0.0000000000	0.5092489814	0.5516338268
201.0000000000	107	14.0000000000	1.0000000000	0.6267848527	0.5966261637
201.0000000000	107	15.0000000000	0.0000000000	0.7838541419	0.4660027062
201.0000000000	107	16.0000000000	1.0000000000	0.9046711887	0.4223171235
201.0000000000	107	17.0000000000	1.0000000000	0.8241344072	0.4589811613
201.0000000000	107	18.0000000000	0.0000000000	0.6023321180	0.4423740778
201.0000000000	107	19.0000000000	0.0000000000	0.3152220679	0.4665728761
201.0000000000	107	20.0000000000	0.0000000000	0.1020159967	0.4622546542
201.0000000000	107	21.0000000000	1.0000000000	0.1032383070	0.4181741346
201.0000000000	107	22.0000000000	1.0000000000	0.3180145640	0.4174284032
201.0000000000	107	23.0000000000	0.0000000000	0.6050312311	0.3793487919
201.0000000000	107	24.0000000000	0.0000000000	0.8258032627	0.3625897491
201.0000000000	107	25.0000000000	0.0000000000	0.8246663706	0.6158254096
201.0000000000	107	26.0000000000	0.0000000000	0.6035349955	0.5010423547
201.0000000000	107	27.0000000000	0.0000000000	0.3172934042	0.6174644320
201.0000000000	107	28.0000000000	1.0000000000	0.1047322450	0.4842524532
201.0000000000	107	29.0000000000	0.0000000000	0.1059508580	0.5290060634
201.0000000000	107	30.0000000000	1.0000000000	0.3200774535	0.4455453911
201.0000000000	107	31.0000000000	0.0000000000	0.6062259442	0.3568253319
201.0000000000	107	32.0000000000	0.0000000000	0.8263301781	0.3522133973
201.0000000000	107	33.0000000000	0.0000000000	0.9046286195	0.4704650261
201.0000000000	107	34.0000000000	1.0000000000	0.7843459070	0.6707389651
201.0000000000	107	35.0000000000	1.0000000000	0.6286469927	0.6712349992
201.0000000000	107	36.0000000000	1.0000000000	0.5130259834	0.4535203997
201.0000000000	107	37.0000000000	0.0000000000	0.5136888386	0.5664654372
201.0000000000	107	38.0000000000	0.0000000000	0.6301613550	0.5555805649
201.0000000000	107	39.0000000000	0.0000000000	0.7858096279	0.3636233655
201.0000000000	107	40.0000000000	0.0000000000	0.9055336348	0.3904266421
